company_info,company_desc,focus,stars,company_url
Apache Mahout,For Creating Scalable Performant Machine Learning Applications,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/apache-mahout
OpenNN ,Build the most powerful models with C++ and Python,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/opennn
Scikit-Learn,Machine Learning in Python,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/scikit-learn
accord.Net,Machine learning made in a minute,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/accord-net
Torch ,A Scientific computing framework for luajit,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/torch
emStream,Providing Intelligence Without Limits,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/emstream
Skan,"A Cognitive Process engine to Map, Model, and Manage your Business Processes ",Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/skan
LiveWorld,Conversation & Relationship Marketing,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/liveworld
teX.ai,Text Analytics Tool,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/tex-ai
datapine,Data Visualization & Business Intelligence Tool,Business Intelligence Software,5.0 (8 Reviews),https://www.goodfirm.co/software/datapine
Grow.com,Your Business Command Center.,Business Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/grow-com
Slemma,"Simple, collaborative reporting tool for businesses.",Business Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/slemma
Tableau,Changing the way you think about data.,Business Intelligence Software,4.3 (41 Reviews),https://www.goodfirm.co/software/tableau
Zoho Analytics,Transform your business with powerful insights.,Business Intelligence Software,4.1 (25 Reviews),https://www.goodfirm.co/software/zoho-analytics
Power BI,Business intelligence like never before.,Business Intelligence Software,4.5 (22 Reviews),https://www.goodfirm.co/software/power-bi
Bitrix24,Your company. United. Free. Unlimited. Online.,Business Intelligence Software,4.3 (11 Reviews),https://www.goodfirm.co/software/bitrix24
Sisense,SIMPLIFYING BUSINESS ANALYTICS FOR COMPLEX DATA.,Business Intelligence Software,4.7 (9 Reviews),https://www.goodfirm.co/software/sisense
Qlik Sense,Go from passive to active analytics,Business Intelligence Software,4.3 (7 Reviews),https://www.goodfirm.co/software/qlik-sense
SAP BusinessObjects,"Make better, more informed decisions with access to real-time insights",Business Intelligence Software,4.1 (7 Reviews),https://www.goodfirm.co/software/sap-businessobjects
BVDash,Projects Made Easy.,Business Intelligence Software,5.0 (6 Reviews),https://www.goodfirm.co/software/bvdash
QlikView,Faster answers. More insights. Better outcomes.,Business Intelligence Software,4.6 (5 Reviews),https://www.goodfirm.co/software/qlikview
Board,Sparking your business imagination,Business Intelligence Software,4.8 (4 Reviews),https://www.goodfirm.co/software/board
YellowFin,Any BI can tell you what happened. Yellowfin tells you Why. Faster.,Business Intelligence Software,4.5 (4 Reviews),https://www.goodfirm.co/software/yellowfin
MicroStrategy Enterprise Analytics,Your data has a story to tell.,Business Intelligence Software,4.5 (4 Reviews),https://www.goodfirm.co/software/microstrategy-enterprise-analytics
Reveal,Simple. Fast. Predictable.,Business Intelligence Software,5.0 (2 Reviews),https://www.goodfirm.co/software/reveal
Jaspersoft,Embedded analytics and reporting software,Business Intelligence Software,4.8 (2 Reviews),https://www.goodfirm.co/software/jaspersoft
Looker,BI & Data Visualization Software for Interactive Analytics,Business Intelligence Software,4.5 (2 Reviews),https://www.goodfirm.co/software/looker
TIBCO Spotfire,Try TIBCO Spotfire Analytics,Business Intelligence Software,4.5 (2 Reviews),https://www.goodfirm.co/software/tibco-spotfire
Google Data Studio,Your data is beautiful. Use it.,Business Intelligence Software,4.5 (2 Reviews),https://www.goodfirm.co/software/google-data-studio
Clear Analytics,Make Everyone A Power Analyst!,Business Intelligence Software,4.5 (2 Reviews),https://www.goodfirm.co/software/clear-analytics
iDashboards,Get more eyes on your KPIs.,Business Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/idashboards
Mavenlink,Elevates your operational and financial business performance.,Business Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/mavenlink
Helical Insight,A business intelligence framework.,Business Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/helical-insight
WORKMAP,Accelerate Success At Work,Business Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/workmap
AccountsIQ,Award winning cloud accounting software.,Business Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/accountsiq
BrightGauge,Your Data. Your KPIs. All in One Place,Business Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/brightgauge
VizualSurvey,VIZUALIZE SURVEY DATA WITH EASE,Business Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/vizualsurvey
Cluvio,Listen to your data,Business Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/cluvio
RapidMiner Studio,Comprehensive data science platform with visual workflow design and full automation,Business Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/rapidminer-studio
Seller Spike,Make More Selling on Amazon,Business Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/seller-spike
DigitalCRM,CRM Software,CRM Software,5.0 (2 Reviews),https://www.goodfirm.co/software/digitalcrm
CrossConcept Continuum PSA,One Solution. Best Practice Project Delivery.,CRM Software,5.0 (5 Reviews),https://www.goodfirm.co/software/crossconcept-continuum-psa
Revamp CRM,A CRM built from the ground up for B2B & B2C eCommerce,CRM Software,5.0 (3 Reviews),https://www.goodfirm.co/software/revamp-crm
Sales365cloud,"Think CRM, Think Sales365cloud",CRM Software,5.0 (1 Review),https://www.goodfirm.co/software/sales365cloud
Salesforce CRM,The No 1 Growth Platform for Digital Sales.,CRM Software,4.3 (49 Reviews),https://www.goodfirm.co/software/salesforce-crm
Zoho CRM,Build everlasting customer relationships with the world’s favorite CRM.,CRM Software,4.3 (68 Reviews),https://www.goodfirm.co/software/zoho-crm
HubSpot CRM,"Everything you need to organize, track, and nurture your leads and customers. ",CRM Software,4.4 (114 Reviews),https://www.goodfirm.co/software/hubspot-crm
Pipedrive,Designed to keep you selling.,CRM Software,4.3 (26 Reviews),https://www.goodfirm.co/software/pipedrive
ActiveCampaign,"Keep track of leads in a CRM, not in your head.",CRM Software,4.5 (30 Reviews),https://www.goodfirm.co/software/activecampaign
Freshsales,Accelerate your revenue with context-driven sales,CRM Software,4.0 (5 Reviews),https://www.goodfirm.co/software/freshworks-crm
Zendesk Sell,"Sales CRM to enhance productivity, processes, and pipeline visibility for sales teams.",CRM Software,3.5 (2 Reviews),https://www.goodfirm.co/software/zendesk-sell
NetSuite CRM,A Complete CRM Software Solution,CRM Software,5.0 (3 Reviews),https://www.goodfirm.co/software/netsuite-crm
Pipeliner CRM,"The Better CRM Built for Sales, Used by Sales",CRM Software,5.0 (2 Reviews),https://www.goodfirm.co/software/pipeliner-crm
Less Annoying CRM,"Simple CRM built just for small businesses to manage contacts, track leads",CRM Software,4.0 (1 Review),https://www.goodfirm.co/software/less-annoying-crm
Sugar CRM,#1 Rated CRM platform for small and medium size businesses.,CRM Software,4.0 (8 Reviews),https://www.goodfirm.co/software/sugar-crm
Nimble,"The Simple, Smart CRM for Office 365 and G Suite Teams.",CRM Software,4.1 (5 Reviews),https://www.goodfirm.co/software/nimble
Dynamics 365,Agility without limits,CRM Software,3.9 (14 Reviews),https://www.goodfirm.co/software/dynamics-365
Close,"High adoption, high performance. Get the all-in-one CRM built just for sales teams.",CRM Software,5.0 (5 Reviews),https://www.goodfirm.co/software/close
Freeagent CRM,Best CRM solution for the new world of work.,CRM Software,5.0 (2 Reviews),https://www.goodfirm.co/software/freeagent
Odoo CRM,The No.1 Open Source CRM Software,CRM Software,5.0 (1 Review),https://www.goodfirm.co/software/odoo-crm
Insightly,The Best CRM to Build Customer Relationships,CRM Software,4.3 (7 Reviews),https://www.goodfirm.co/software/insightly
Act!,CRM and Marketing Automation together as one.,CRM Software,5.0 (1 Review),https://www.goodfirm.co/software/act
Keap,Sales and Marketing Automation built to help you grow without chaos.,CRM Software,3.9 (12 Reviews),https://www.goodfirm.co/software/keap
Copper,Win clients for life,CRM Software,4.0 (5 Reviews),https://www.goodfirm.co/software/copper
SAP CRM,Best CRM software and customer experience solutions,CRM Software,5.0 (2 Reviews),https://www.goodfirm.co/software/sap-crm
Agile CRM,"All-in-One CRM Software, Sales Enablement + Marketing Automation + Customer Service.",CRM Software,4.6 (5 Reviews),https://www.goodfirm.co/software/agile-crm
Salesflare,A simple yet powerful CRM for small businesses selling B2B.,CRM Software,4.0 (1 Review),https://www.goodfirm.co/software/salesflare
Pipeline CRM,"CRM Made by Salespeople, For Salespeople.",CRM Software,5.0 (1 Review),https://www.goodfirm.co/software/pipeline-crm
Nutshell CRM,All in one CRM solution that helps B2B teams,CRM Software,4.3 (3 Reviews),https://www.goodfirm.co/software/nutshell-crm
Method CRM,The Most Customizable QuickBooks CRM,CRM Software,5.0 (1 Review),https://www.goodfirm.co/software/method-crm
NetHunt CRM,Push the boundaries with our Gmail CRM for sales and marketing.,CRM Software,5.0 (3 Reviews),https://www.goodfirm.co/software/nethunt-crm
Shopaccino,A smarter way to create your online store.,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/shopaccino
Quick eSelling,Get Free eCommerce Website & App,E-Commerce Software,5.0 (2 Reviews),https://www.goodfirm.co/software/quick-eselling
Shopify,The E-commerce platform made for you.,E-Commerce Software,4.2 (58 Reviews),https://www.goodfirm.co/software/shopify
WooCommerce,Most customizable eCommerce platform,E-Commerce Software,4.4 (17 Reviews),https://www.goodfirm.co/software/woocommerce
BigCommerce,Build your online store with BigCommerce,E-Commerce Software,3.9 (8 Reviews),https://www.goodfirm.co/software/bigcommerce
Weebly,"Succeed with the right website builder, from start to growth.",E-Commerce Software,5.0 (2 Reviews),https://www.goodfirm.co/software/weebly
Shopify Plus,Powering the world’s fastest growing brands.,E-Commerce Software,4.1 (9 Reviews),https://www.goodfirm.co/software/shopify-plus
Adobe Commerce,eCommerce Marketing Platform,E-Commerce Software,4.4 (8 Reviews),https://www.goodfirm.co/software/adobe-commerce
Ecwid,Add an online store for free in 5 minutes.,E-Commerce Software,5.0 (2 Reviews),https://www.goodfirm.co/software/ecwid
Commerce Cloud,"Innovate, scale, and reach your goals faster with connected B2C ecommerce.",E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/commerce-cloud
Shift4Shop,Rocket Fuel for Your Business,E-Commerce Software,5.0 (2 Reviews),https://www.goodfirm.co/software/shift4shop
NetSuite SuiteCommerce,Customizable Ecommerce Software Solution,E-Commerce Software,4.0 (3 Reviews),https://www.goodfirm.co/software/netsuite-suitecommerce
Zoho Commerce,Powerful Ecommerce software,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/zoho-commerce
FastSpring,Increase Revenue By 30% or More with Full-Service Ecommerce,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/fastspring
PrestaShop ,Your ecommerce success starts here,E-Commerce Software,4.5 (2 Reviews),https://www.goodfirm.co/software/prestashop
Vendasta,The all-in-one platform for companies selling to local businesses,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/vendasta
CommentSold,Dominating Social Commerce for Retailers,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/commentsold
Shopware,THE TRENDSETTING ECOMMERCE PLATFORM,E-Commerce Software,4.8 (2 Reviews),https://www.goodfirm.co/software/shopware
Miva,Complete Ecommerce Plans for Every Step of your Business,E-Commerce Software,5.0 (2 Reviews),https://www.goodfirm.co/software/miva
nopCommerce,Open source e-commerce shopping cart solution,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/nopcommerce
Kibo Commerce,ORDER MANAGEMENT SOFTWARE TO BRIDGE THE ONLINE AND IN-STORE GAP,E-Commerce Software,5.0 (2 Reviews),https://www.goodfirm.co/software/kibo-commerce
Odoo eCommerce,#1 Open-Source eCommerce ,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/odoo-ecommerce
Volusion,The All-in-One Ecommerce Solution.,E-Commerce Software,5.0 (2 Reviews),https://www.goodfirm.co/software/volusion
Lightspeed eCommerce,Everything you need to sell online.,E-Commerce Software,5.0 (2 Reviews),https://www.goodfirm.co/software/lightspeed-ecommerce
CS-Cart Multi-Vendor,Start your own marketplace fast and grow at scale,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/cs-cart-multi-vendor
OpenCart,The best free and open-source eCommerce platform.,E-Commerce Software,3.5 (2 Reviews),https://www.goodfirm.co/software/opencart
Handshake,Become the company your customers love to order from,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/handshake
PinnacleCart,Build the Perfect Store.,E-Commerce Software,5.0 (2 Reviews),https://www.goodfirm.co/software/pinnaclecart
Spryker,The better e-commerce solution!,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/spryker
Sana Commerce,"Prioritize relationships, not just transactions",E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/sana-commerce
NuORDER,Two-Sided B2B eCommerce,E-Commerce Software,5.0 (1 Review),https://www.goodfirm.co/software/nuorder
